p,K,KsqrtlogK,MND
0.05,2.56304014308419,2.48653747297612,1.96849131069834
0.1,2.0421370948696,1.72557183543517,1.24528740714786
0.15,1.80913694696252,1.3929766000742,1.01150874457062
0.2,1.67049487660281,1.1966153887474,1.00678491561942
0.25,1.57649603178646,1.06364387246608,0.98071234004981
0.3,1.50772614490686,0.966125045234612,0.747068020029801
0.35,1.45482542212605,0.890759452378887,0.788248015893229
0.4,1.41265317766599,0.83031041103373,0.781644686170812
0.45,1.37812175469529,0.78046178422064,0.840670812012719
0.5,1.34925107124422,0.738460379232156,0.809520104944852
